2026-06-25 23:38:44 | INFO   | feature_C_engine_4.py        | 119  : _apply_spec              | 🔄 Applying ema (mode=train) with args=[], kwargs={'column': 'close', 'period': 20}
2026-06-25 23:38:44 | INFO   | feature_C_engine_4.py        | 303  : _call_batch              | 📊 Calling ema_batch_df with filtered kwargs: {'column': 'D1_close', 'period': 20, 'min_periods': -1, 'result_col': 'ema', 'add_para_to_names': False}
2026-06-25 23:38:44 | INFO   | feature_C_engine_4.py        | 119  : _apply_spec              | 🔄 Applying heikin_ashi (mode=train) with args=[], kwargs={}
2026-06-25 23:38:44 | INFO   | feature_C_engine_4.py        | 303  : _call_batch              | 📊 Calling heikinashi_batch_df with filtered kwargs: {'open_col': 'H1_open', 'high_col': 'H1_high', 'low_col': 'H1_low', 'close_col': 'H1_close', 'result_prefix': 'ha', 'add_para_to_names': False}
2026-06-25 23:38:44 | INFO   | feature_C_engine_4.py        | 119  : _apply_spec              | 🔄 Applying hma (mode=train) with args=[], kwargs={'column': 'close', 'period': 20}
2026-06-25 23:38:44 | INFO   | feature_C_engine_4.py        | 303  : _call_batch              | 📊 Calling hma_batch_df with filtered kwargs: {'price_col': 'H1_close', 'n': 20, 'min_periods': -1, 'result_col': 'hma', 'add_para_to_names': False}
2026-06-25 23:38:46 | INFO   | feature_C_engine_4.py        | 119  : _apply_spec              | 🔄 Applying kama (mode=train) with args=[], kwargs={'column': 'close', 'period': 20}
2026-06-25 23:38:46 | INFO   | feature_C_engine_4.py        | 303  : _call_batch              | 📊 Calling kama_batch_df with filtered kwargs: {'price_col': 'H1_close', 'n': 10, 'fast_span': 2, 'slow_span': 30, 'min_periods': -1, 'result_col': 'kama', 'add_para_to_names': False}
2026-06-25 23:38:46 | INFO   | feature_C_engine_4.py        | 119  : _apply_spec              | 🔄 Applying keltner_channel (mode=train) with args=[], kwargs={'close_col': 'close', 'n': 20, 'm': 2}
2026-06-25 23:38:46 | INFO   | feature_C_engine_4.py        | 303  : _call_batch              | 📊 Calling keltner_batch_df with filtered kwargs: {'close_col': 'H1_close', 'n': 20, 'm': 2, 'high_col': 'H1_high', 'low_col': 'H1_low', 'min_periods': -1, 'upper_col': 'kc_upper', 'middle_col': 'kc_middle', 'lower_col': 'kc_lower', 'width_col': 'kc_width', 'percent_col': 'kc_percent', 'add_para_to_names': False}
