open,high,low,close,volume,spread,real_volume,sma_close_20_core,ema_close_20_core,wma_close_20_core,rsi_14_core,roc_10_core,atr_14_core,macd_12_26_9_core,macd_signal_12_26_9_core,macd_hist_12_26_9_core,bb_mid_20_2.0_core,bb_up_20_2.0_core,bb_lo_20_2.0_core,kelt_mid_20_2.0_core,kelt_up_20_2.0_core,kelt_lo_20_2.0_core,stoch_k_14_3_core,stoch_d_14_3_core,cci_20_core,mfi_14_core,obv_core,wr_14_core,sar_0.02_0.02_0.2_core,ha_open_core,ha_high_core,ha_low_core,ha_close_core,tr_core
3864.54,3865.94,3858.61,3862.2,2954,19,0,3870.867,3867.2747,3870.086,43.777122,-0.55436397,11.71402,1.3003261,,,3870.867,3890.881,3850.8528,3867.2747,3890.095,3844.4543,18.137135,25.019787,,21.419865,1209.0,-81.86287,3888.1309,3865.026,3865.94,3858.61,3862.8225,7.329834
3862.3,3866.61,3857.62,3863.31,4938,14,0,3870.8726,3866.897,3869.3665,45.77396,-0.18086407,11.519446,0.87016374,,,3870.8726,3890.8782,3850.867,3866.897,3889.4753,3844.3186,21.004454,20.452784,,18.244205,6147.0,-78.995544,3886.7986,3863.924,3866.61,3857.62,3862.46,8.98999
3862.86,3863.64,3855.72,3855.91,6405,14,0,3870.5625,3865.8506,3867.9414,35.951797,-0.43663275,11.262338,-0.06708782,,,3870.5625,3891.2812,3849.8438,3865.8506,3888.092,3843.6091,2.9846659,14.042085,,11.010837,-258.0,-97.015335,3885.5193,3863.1921,3863.64,3855.72,3859.5325,7.919922
3855.92,3865.26,3852.72,3864.86,6495,14,0,3870.552,3865.7563,3867.3982,50.71139,-0.2081117,11.353601,-0.086677074,,,3870.552,3891.282,3849.822,3865.7563,3888.1396,3843.373,31.43449,18.474537,,16.986668,6237.0,-68.56551,3884.2915,3861.3623,3865.26,3852.72,3859.69,12.540039
3864.87,3870.1,3861.53,3866.1,5629,14,0,3870.692,3865.789,3866.9744,52.462646,-0.06100619,11.1547785,-0.002119627,,,3870.692,3891.2612,3850.1226,3865.789,3887.9102,3843.668,34.64526,23.021473,,22.583103,11866.0,-65.35474,3882.3972,3860.5261,3870.1,3860.5261,3865.65,8.570068
3866.09,3869.44,3863.77,3866.41,4554,14,0,3871.0464,3865.8481,3866.5664,52.944923,-0.11289714,10.763002,0.08888259,,,3871.0464,3891.0564,3851.0364,3865.8481,3887.4302,3844.266,52.291824,39.45719,,28.65364,16420.0,-47.708176,3880.6165,3863.0881,3869.44,3863.0881,3866.4275,5.669922
3866.42,3867.65,3861.81,3864.37,3266,14,0,3870.3096,3865.7075,3865.9307,49.158115,0.09428269,10.411348,-0.0035673354,,,3870.3096,3890.1626,3850.4565,3865.7075,3886.7944,3844.6206,44.49962,43.812233,,31.177887,13154.0,-55.50038,3878.9426,3864.7578,3867.65,3861.81,3865.0625,5.8398438
3864.37,3871.56,3864.36,3867.72,4976,12,0,3869.05,3865.8992,3865.684,55.226,0.141368,10.181963,0.19127752,,,3869.05,3885.9905,3852.1096,3865.8992,3886.6519,3845.1465,62.421974,53.07114,,39.364452,18130.0,-37.578026,3877.3694,3864.9102,3871.56,3864.36,3867.0024,7.199951
3867.7,3874.42,3862.04,3864.34,7026,10,0,3867.821,3865.7507,3865.2354,48.488834,-0.092297904,10.338957,0.0721243,0.2989586,-0.2268343,3867.821,3882.188,3853.454,3865.7507,3886.7036,3844.7979,53.548386,53.489994,,41.40291,11104.0,-46.451614,3875.8904,3865.9563,3874.42,3862.04,3867.125,12.379883
3863.91,3874.64,3861.87,3868.45,8900,10,0,3866.8726,3866.0078,3865.2954,56.017036,0.11879312,10.512587,0.30581197,0.3003293,0.0054826736,3866.8726,3878.1003,3855.6448,3866.0078,3887.1902,3844.8254,71.76095,62.577103,,51.929756,20004.0,-28.239052,3852.72,3866.5408,3874.64,3861.87,3867.2175,12.769775
3868.46,3878.68,3864.53,3874.79,7331,10,0,3866.4255,3866.844,3866.0493,65.096405,0.32598,10.772395,0.9911705,0.43849754,0.552673,3866.4255,3875.4238,3857.4272,3866.844,3888.382,3845.306,85.01541,70.108246,,60.89749,27335.0,-14.9845915,3853.1584,3866.8792,3878.68,3864.53,3871.615,14.149902
3874.78,3879.63,3873.49,3878.96,6923,10,0,3866.858,3867.998,3867.2432,69.823875,0.40509304,10.441503,1.8494866,0.7206953,1.1287913,3866.858,3877.2803,3856.4355,3867.998,3889.0732,3846.9229,97.510216,84.76219,,70.657135,34258.0,-2.4897807,3854.1792,3869.247,3879.63,3869.247,3876.715,6.1398926
3878.96,3883.92,3875.68,3881.75,6510,10,0,3867.3044,3869.3076,3868.6614,72.68047,0.67014015,10.284251,2.7234437,1.121245,1.6021987,3867.3044,3879.349,3855.2598,3869.3076,3890.153,3848.4622,93.04487,91.856834,161.16013,70.409805,40768.0,-6.955128,3855.7063,3872.981,3883.92,3872.981,3880.0774,8.23999
3881.71,3886.8,3879.68,3886.25,7036,9,0,3867.971,3870.9214,3870.4658,76.77254,0.55344826,10.058242,3.736106,1.6442173,2.0918887,3867.971,3882.42,3853.522,3870.9214,3891.4365,3850.4062,98.38615,96.31374,173.8157,76.346016,47804.0,-1.6138498,3857.9634,3876.5293,3886.8,3876.5293,3883.61,7.120117
3886.24,3891.87,3880.28,3884.29,9867,9,0,3868.7625,3872.1946,3872.02,71.397934,0.4705,10.16766,4.330572,2.1814883,2.1490839,3868.7625,3884.8708,3852.654,3872.1946,3892.843,3851.5461,80.63857,90.689865,157.98605,81.456924,37937.0,-19.361431,3860.8472,3880.0696,3891.87,3880.0696,3885.67,11.590088
3884.44,3897.18,3873.34,3875.42,11400,9,0,3868.9946,3872.5017,3872.654,52.284805,0.2330327,11.144244,4.0393925,2.553069,1.4863234,3868.9946,3885.3445,3852.6448,3872.5017,3894.5017,3850.5017,51.05713,76.69395,110.52007,70.84549,26537.0,-48.94287,3864.5698,3882.8699,3897.18,3873.34,3882.595,23.839844
3875.43,3876.81,3825.56,3839.81,12905,9,0,3867.9485,3869.3882,3869.8745,23.340815,-0.6355499,14.008941,0.9245438,2.227364,-1.3028202,3867.9485,3888.4333,3847.4636,3869.3882,3895.4133,3843.363,19.896677,50.530792,-163.73691,66.40631,13632.0,-80.103325,3897.18,3882.7324,3882.7324,3825.56,3854.4026,51.25
3839.71,3844.9,3819.24,3828.5,12262,9,0,3866.2605,3865.4941,3866.1174,19.404243,-1.0140342,14.841153,-2.4286232,1.2961665,-3.7247896,3866.2605,3892.9624,3839.5586,3865.4941,3892.784,3838.2043,11.880934,27.61158,-242.7837,56.97067,1370.0,-88.119064,3897.18,3868.5674,3868.5674,3819.24,3833.0874,25.659912
3828.47,3845.19,3827.42,3844.71,10206,11,0,3865.1006,3863.5146,3864.065,36.981102,-0.5079781,15.050358,-3.7349663,0.28994,-4.024906,3865.1006,3893.384,3836.8171,3863.5146,3891.217,3835.8123,32.678986,21.485533,-159.4391,58.684837,11576.0,-67.321014,3894.0625,3850.8274,3850.8274,3827.42,3836.4475,17.77002
3844.7,3848.04,3840.68,3844.41,8426,11,0,3864.128,3861.695,3862.0945,36.809677,-0.62143755,14.501054,-4.7398224,-0.7160125,-4.02381,3864.128,3893.8176,3834.4382,3861.695,3888.7483,3834.6418,32.29407,25.617996,-114.42019,60.035973,3150.0,-67.705925,3891.0696,3843.6375,3848.04,3840.68,3844.4575,7.3601074
3844.42,3851.52,3843.73,3851.04,6315,11,0,3863.57,3860.6804,3860.8481,43.489525,-0.61293644,14.021696,-4.944199,-1.5616498,-3.3825493,3863.57,3893.7983,3833.3418,3860.6804,3887.16,3834.201,40.800617,35.257893,-83.0552,63.764336,9465.0,-59.199383,3888.1963,3844.0476,3851.52,3843.73,3847.6775,7.790039
3851.08,3859.06,3850.59,3855.44,7543,11,0,3863.1765,3860.1814,3860.0737,47.721344,-0.6063481,13.625144,-4.6969814,-2.1887162,-2.5082653,3863.1765,3893.6123,3832.7407,3860.1814,3886.1838,3834.179,46.445984,39.84689,-46.089764,64.516594,17008.0,-53.554016,3885.438,3845.8625,3859.06,3845.8625,3854.0425,8.469971
3855.46,3859.15,3853.61,3855.3,3028,19,0,3863.146,3859.7163,3859.3237,47.590504,-0.6813937,13.047619,-4.460934,-2.6431596,-1.8177745,3863.146,3893.612,3832.68,3859.7163,3884.9727,3834.46,46.266357,44.50432,-40.684513,69.24731,13980.0,-53.733643,3882.79,3849.9524,3859.15,3849.9524,3855.88,5.539795
3857.01,3858.57,3852.08,3857.23,2876,19,0,3862.7644,3859.4795,3858.7603,49.780674,-0.7467353,12.579217,-4.0711994,-2.9287677,-1.1424317,3862.7644,3893.326,3832.203,3859.4795,3884.122,3834.837,48.742622,47.151653,-39.943653,65.04576,16856.0,-51.257378,3880.248,3852.9163,3858.57,3852.08,3856.2224,6.48999
3857.28,3863.67,3856.71,3862.32,3899,14,0,3862.5754,3859.75,3858.7178,55.446434,-0.5656117,12.177842,-3.3134167,-3.0056975,-0.30771923,3862.5754,3893.0989,3832.052,3859.75,3883.8564,3835.6436,55.27329,50.09409,-10.572634,63.93957,20755.0,-44.72671,3877.8079,3854.5693,3863.67,3854.5693,3859.995,6.959961
3862.32,3862.79,3856.28,3857.05,5381,14,0,3862.1074,3859.493,3858.1917,48.86092,-0.47401315,11.772997,-3.1023514,-3.0250282,-0.0773232,3862.1074,3892.6685,3831.5464,3859.493,3883.0452,3835.9407,48.511677,50.84253,-20.912386,58.412685,15374.0,-51.488323,3875.465,3857.2822,3862.79,3856.28,3859.61,6.51001
